# generated_by=fixtures/r/generate_hard_real_2026_subset_fixture.R
# source=ignored_2026_hard_real_bundle
# expected=black_box_R_locfit_on_committed_subset
# r_version=4.6.0
# locfit_version=1.5.9.12
# input_count=576
# prediction_count=72
# columns:case,kind,index,label,mean,disp,log_mean,log_disp,expected,expected_log
blood_full,input,0,input_000,0.0033987750322946502,589,-5.6843401968973399,6.3784261836515901,,
blood_full,input,1,input_001,0.0057689817256738,589,-5.1552596913889799,6.3784261836515901,,
blood_full,input,2,input_002,0.0074661558350184402,589,-4.8973750260825497,6.3784261836515901,,
blood_full,input,3,input_003,0.0093300394796814509,589,-4.6745160326547301,6.3784261836515901,,
blood_full,input,4,input_004,0.0109716571768741,589,-4.5124399516670701,6.3784261836515901,,
blood_full,input,5,input_005,0.012701547426078499,589,-4.3660314483669298,6.3784261836515901,,
blood_full,input,6,input_006,0.014534682498615101,589,-4.2312175891304102,6.3784261836515901,,
blood_full,input,7,input_007,0.016400360485996801,589,-4.1104519635400996,6.3784261836515901,,
blood_full,input,8,input_008,0.018324153912166199,589,-3.99953520350775,6.3784261836515901,,
blood_full,input,9,input_009,0.020421705071753601,589,-3.8911569696456798,6.3784261836515901,,
blood_full,input,10,input_010,0.0226292189967633,589,-3.7885133317853898,6.3784261836515901,,
blood_full,input,11,input_011,0.024782887331244199,589,-3.6976018909553399,6.3784261836515901,,
blood_full,input,12,input_012,0.027301396061756002,589,-3.6008174403054598,6.3784261836515901,,
blood_full,input,13,input_013,0.029700433829051801,589,-3.5165936262413799,6.3784261836515901,,
blood_full,input,14,input_014,0.032554436407498402,589,-3.4248416244536601,6.3784261836515901,,
blood_full,input,15,input_015,0.035264664479896797,589,-3.3448738226194399,6.3784261836515901,,
blood_full,input,16,input_016,0.038410652778462,547.014985345279,-3.25942044175541,6.3044761975591204,,
blood_full,input,17,input_017,0.041480215989261597,589,-3.18253868856441,6.3784261836515901,,
blood_full,input,18,input_018,0.045153567879592599,589,-3.0976859794374598,6.3784261836515901,,
blood_full,input,19,input_019,0.048674039371630902,589,-3.0226094634783398,6.3784261836515901,,
blood_full,input,20,input_020,0.052517366265185501,436.83152083035202,-2.94661137807865,6.0795475849002196,,
blood_full,input,21,input_021,0.0561346808802482,155.660736361798,-2.8800014599499701,5.0476788720982197,,
blood_full,input,22,input_022,0.059962948049834097,589,-2.8140284400145301,6.3784261836515901,,
blood_full,input,23,input_023,0.064613233650874305,116.332871461395,-2.73933603389687,4.7564556632805504,,
blood_full,input,24,input_024,0.069504857082543503,258.41807650923101,-2.6663586427735502,5.5545787249927496,,
blood_full,input,25,input_025,0.073542599984211199,301.27875890109402,-2.6098904490397801,5.7080359454801997,,
