# generated_by=fixtures/r/generate_real_deseq_subset_fixture.R
# selected_from=data/local_dispersion_fit_points.tsv;data/local_dispersion_ranked_hard_rows.tsv;data/local_dispersion_all_rows.tsv.gz
# source=real_deseq2_local_dispersion_debug_tables
# expected=black_box_R_locfit_on_committed_subset
# source_expected=original_full_data_dispFit_for_context_only
# r_version=4.6.0
# locfit_version=1.5.9.12
# input_count=384
# prediction_count=33
# columns:case,kind,index,gene,mean,disp,expected,source_expected
real_deseq2_curated,input,0,ACTRT1P1,0.025900229487946499,0.00062646501833292197,,
real_deseq2_curated,input,1,ENSG00000290568,0.0281869195264065,78,,
real_deseq2_curated,input,2,ENSG00000270204,0.0317139770936447,78,,
real_deseq2_curated,input,3,ENSG00000261653,0.037114401340283702,78,,
real_deseq2_curated,input,4,ENSG00000254971,0.044337523351748301,78,,
real_deseq2_curated,input,5,ENSG00000300488,0.048129874419016498,78,,
real_deseq2_curated,input,6,DAZ3,0.0526288829176123,78,,
real_deseq2_curated,input,7,ENSG00000218766,0.056584819673919103,78,,
real_deseq2_curated,input,8,ENSG00000280660,0.0618034463016396,78,,
real_deseq2_curated,input,9,ENSG00000309222,0.066834321722765502,78,,
real_deseq2_curated,input,10,ELOA3DP,0.071848961404099604,78,,
real_deseq2_curated,input,11,ENSG00000296177,0.076789561017509195,78,,
real_deseq2_curated,input,12,ENSG00000295268,0.081553618643480402,78,,
real_deseq2_curated,input,13,ENSG00000288537,0.086605252834512897,78,,
real_deseq2_curated,input,14,OR11G1P,0.091342539979810997,78,,
real_deseq2_curated,input,15,ENSG00000232337,0.097066160578798702,78,,
real_deseq2_curated,input,16,ENSG00000237760,0.102074832058064,78,,
real_deseq2_curated,input,17,LACRT,0.106686203399684,78,,
real_deseq2_curated,input,18,ENSG00000298494,0.1119925172813,78,,
real_deseq2_curated,input,19,LINC01228,0.11806080139346301,78,,
real_deseq2_curated,input,20,C15orf32,0.124161482974237,72.960269546626805,,
real_deseq2_curated,input,21,ENSG00000253894,0.130506517860773,47.303401684926101,,
real_deseq2_curated,input,22,LINC02380,0.13695543498006901,32.4313328513241,,
real_deseq2_curated,input,23,ENSG00000295982,0.14374117849205001,24.389184613868299,,
real_deseq2_curated,input,24,RNASE11-AS1,0.14985277949672399,32.599010005429001,,
real_deseq2_curated,input,25,ENSG00000297513,0.15625782536390601,73.074661221569897,,
real_deseq2_curated,input,26,ENSG00000300898,0.163914184505558,48.447194002680902,,
real_deseq2_curated,input,27,ENSG00000273838,0.169799190250044,23.9442521631053,,
real_deseq2_curated,input,28,ENSG00000298315,0.176218108040953,47.321719273709398,,
real_deseq2_curated,input,29,ENSG00000287019,0.181755156403657,50.962801956443499,,
real_deseq2_curated,input,30,DUX4,0.187964194511439,47.366623750181603,,
real_deseq2_curated,input,31,DUSP13B,0.19483847123337,19.0131094860185,,
real_deseq2_curated,input,32,BORCS8P1,0.202043849036012,19.551901800212399,,
real_deseq2_curated,input,33,LINC02333,0.209038665358347,35.379414592424503,,
real_deseq2_curated,input,34,ENSG00000271519,0.21579960276497501,15.0558458742883,,
real_deseq2_curated,input,35,UBE2DNL,0.222150565733998,12.139831370975299,,
real_deseq2_curated,input,36,ENSG00000233293,0.22898951348357499,15.158122008384,,
real_deseq2_curated,input,37,ENSG00000286332,0.236336283757377,37.002240148961,,
real_deseq2_curated,input,38,ENSG00000302993,0.242813140624977,9.5013213492963207,,
real_deseq2_curated,input,39,RN7SL482P,0.25018242773477001,11.818070323791201,,
real_deseq2_curated,input,40,OR52B4,0.25680680537615502,12.515229085645901,,
real_deseq2_curated,input,41,ENSG00000297331,0.26478799332906899,78,,
real_deseq2_curated,input,42,ENSG00000297747,0.27181323943739399,15.565146226113299,,
real_deseq2_curated,input,43,RPL23AP48,0.27966965827704898,13.2005778365409,,
real_deseq2_curated,input,44,RPL13AP3,0.28660134329931197,12.5632527078784,,
real_deseq2_curated,input,45,ENSG00000228988,0.29421698555842202,15.867629754026799,,
real_deseq2_curated,input,46,SETP6,0.30322902460824203,10.8094222945584,,
real_deseq2_curated,input,47,RPL23AP59,0.31254081172641801,4.9851227991416103,,
real_deseq2_curated,input,48,ENSG00000297963,0.32130570085236199,7.1693874563142304,,
real_deseq2_curated,input,49,ENSG00000304842,0.33000150750840901,7.64143107577019,,
real_deseq2_curated,input,50,ENSG00000302867,0.33760269292480999,7.4355243944866602,,
real_deseq2_curated,input,51,RN7SL762P,0.345385592055869,5.1574187277285404,,
real_deseq2_curated,input,52,LINC02171,0.354495735438146,8.5070377158499895,,
real_deseq2_curated,input,53,OR7E117P,0.36431620165376899,5.6563915353385701,,
real_deseq2_curated,input,54,ENSG00000238575,0.37188611331761801,1.17199157693138,,
real_deseq2_curated,input,55,ENSG00000236733,0.38091671911540298,6.2623073659500301,,
real_deseq2_curated,input,56,ENSG00000287673,0.39012619668369602,12.643711956910099,,
real_deseq2_curated,input,57,ENSG00000287687,0.399390600902086,4.6716101845731002,,
real_deseq2_curated,input,58,ENSG00000300634,0.410007543469528,3.4289294783225199,,
real_deseq2_curated,input,59,LRRC57P1,0.42104237764932001,8.9462538796443507,,
real_deseq2_curated,input,60,FOXF2-DT,0.430895439594428,10.9302048443405,,
real_deseq2_curated,input,61,LRRC53,0.43881562480215702,9.1179644243323299,,
real_deseq2_curated,input,62,SLC25A5P7,0.44953042166937301,4.0643701909618004,,
real_deseq2_curated,input,63,TSEN15P1,0.45845513312411601,5.8913729292231798,,
real_deseq2_curated,input,64,ENSG00000307373,0.470974611517674,10.5020129244175,,
real_deseq2_curated,input,65,ENSG00000309539,0.48027289789571298,1.80923572135147,,
real_deseq2_curated,input,66,DPEP2NB,0.48980423297040299,6.4501620290985997,,
real_deseq2_curated,input,67,ASS1P8,0.49876893004747103,7.4140818975578799,,
real_deseq2_curated,input,68,ENSG00000307981,0.50864902603714202,5.2715178031881296,,
real_deseq2_curated,input,69,ENSG00000227948,0.51891659542997803,5.3626918958609098,,
real_deseq2_curated,input,70,ENSG00000302749,0.52951970238281698,3.7647410485834301,,
real_deseq2_curated,input,71,LINC02847,0.54123988745462204,1.98807555917818,,
real_deseq2_curated,input,72,ENSG00000227242,0.55313657128188898,3.0455897919750599,,
real_deseq2_curated,input,73,ENSG00000279603,0.563890619466479,5.1483036704485796,,
real_deseq2_curated,input,74,ENSG00000305216,0.57796819980232195,2.8308068426077599,,
real_deseq2_curated,input,75,ENSG00000299068,0.59089284463250102,5.7081710662356597,,
real_deseq2_curated,input,76,ENSG00000302227,0.60304413297883797,3.0935152154095999,,
real_deseq2_curated,input,77,ACTBP1,0.61632669793626405,1.9165067400603799,,
real_deseq2_curated,input,78,ATP5PFP1,0.627842802527393,3.37783354736455,,
real_deseq2_curated,input,79,BMP2KL,0.64053600470582095,4.3823260669336301,,
real_deseq2_curated,input,80,ENSG00000300910,0.65442986221591204,2.8146112431991002,,
real_deseq2_curated,input,81,MTCYBP3,0.66629614016510197,4.3084087301206999,,
real_deseq2_curated,input,82,ENSG00000238906,0.68067618899332605,0.948822077949526,,
real_deseq2_curated,input,83,ENSG00000304886,0.69404224123900404,5.8718214068699099,,
real_deseq2_curated,input,84,ENSG00000297792,0.70875546270585099,2.6542017003904901,,
real_deseq2_curated,input,85,BANF2,0.72470306748790703,6.1798421041555303,,
real_deseq2_curated,input,86,ENSG00000303682,0.73808746543028403,1.5762777060373401,,
real_deseq2_curated,input,87,RNA5SP311,0.75554159964451795,1.4310495855677701,,
real_deseq2_curated,input,88,RPL13AP18,0.77123427072701101,1.2240531511822501,,
real_deseq2_curated,input,89,ENSG00000303006,0.78771408232755202,6.4119377244774496,,
real_deseq2_curated,input,90,ENSG00000258858,0.80363444920471405,2.6376674311791701,,
real_deseq2_curated,input,91,ENSG00000298472,0.82104162436477401,2.17099992856744,,
real_deseq2_curated,input,92,ENSG00000305191,0.83822583277051299,0.92882609118754,,
real_deseq2_curated,input,93,PFN1P6,0.85449741660781497,0.38331867175606499,,
real_deseq2_curated,input,94,ENSG00000301769,0.86878423015995998,2.8839330965140499,,
real_deseq2_curated,input,95,ENSG00000251062,0.883923856271144,1.9724161690008,,
real_deseq2_curated,input,96,RPL21P45,0.89952950494640405,1.0206095314947199,,
real_deseq2_curated,input,97,ENSG00000301801,0.91820288478650902,0.67609137186666302,,
real_deseq2_curated,input,98,ENSG00000279300,0.93875672540395405,2.3324868223355799,,
real_deseq2_curated,input,99,RPS3AP27,0.95796543621160701,3.9136835224621098,,
real_deseq2_curated,input,100,RNU6-689P,0.97618006849287697,1.0525208520678799,,
real_deseq2_curated,input,101,ENSG00000261734,0.99622973559815597,3.1089814988168198,,
real_deseq2_curated,input,102,ENSG00000309595,1.0154459751643601,3.06169507353659,,
real_deseq2_curated,input,103,TCP1P3,1.03630361203611,1.84025831879659,,
real_deseq2_curated,input,104,RPL12P44,1.0591195627332,0.84259851541672603,,
real_deseq2_curated,input,105,ENSG00000270282,1.07819805142888,2.1046853657737898,,
real_deseq2_curated,input,106,ENSG00000236469,1.1015632957133199,3.8908539201511898,,
real_deseq2_curated,input,107,ENSG00000276121,1.12392570482614,6.4492058185906798,,
real_deseq2_curated,input,108,TRAV1-1,1.14846369664213,4.8331169303425003,,
real_deseq2_curated,input,109,ADAM2,1.1715819546883699,6.4322764355438196,,
real_deseq2_curated,input,110,ENSG00000279085,1.19719421594185,1.6924253087492001,,
real_deseq2_curated,input,111,LINC00466,1.2228424458615901,1.79447951916389,,
real_deseq2_curated,input,112,MIR6785,1.25362868597896,0.31672033242345699,,
real_deseq2_curated,input,113,ENSG00000259402,1.2861298868607001,2.0671941417786499,,
real_deseq2_curated,input,114,ENSG00000295459,1.3114438176437799,1.47301761459636,,
real_deseq2_curated,input,115,ENSG00000300668,1.3393941931301001,0.48683122612472302,,
real_deseq2_curated,input,116,ENSG00000309652,1.36350544111562,2.1471665806944098,,
real_deseq2_curated,input,117,KRT18P22,1.3946956527852501,2.70621824480369,,
real_deseq2_curated,input,118,HMGN1P37,1.42370645006504,0.89203583400268904,,
real_deseq2_curated,input,119,ENSG00000231762,1.45209778153139,1.14417756583268,,
real_deseq2_curated,input,120,ENSG00000296610,1.48614391652598,2.3055600286822102,,
real_deseq2_curated,input,121,COPS5P2,1.5186215383425501,2.0210526840765102,,
real_deseq2_curated,input,122,INSM1,1.5473545990867099,2.44118025525384,,
real_deseq2_curated,input,123,ENSG00000269296,1.57897161423402,1.1758079129005199,,
real_deseq2_curated,input,124,OR2T29,1.6173890027470801,3.7953108058850602,,
real_deseq2_curated,input,125,ENSG00000310481,1.65611246077746,1.6730276949587499,,
real_deseq2_curated,input,126,ENSG00000289484,1.6967205757361801,2.57617604701551,,
